id,raw_address,parsed_street_number,parsed_pre_directional,parsed_street_name,parsed_street_suffix,parsed_unit,normalized_address
none-north-6th-street-unit-2r-brooklyn-ny-11211,North 6th Street Unit 2R,,N,6th,ST,2R,N 6TH ST APT 2R
none-191-withers-street-unit-1r-brooklyn-ny-11211,191 Withers Street Unit 1R,191,,Withers,ST,1R,191 WITHERS ST APT 1R
none-96-woodpoint-road-unit-3a-brooklyn-ny-11211,96 Woodpoint Road Unit 3A,96,,Woodpoint,,3A,96 WOODPOINT APT 3A
none-2-bayard-street-unit-2d-brooklyn-ny-11211,2 Bayard Street Unit 2D,2,,Bayard,ST,2D,2 BAYARD ST APT 2D
none-150-north-5th-street-unit-3j-brooklyn-ny-11211,150 North 5th Street Unit 3J,150,N,5th,ST,3J,150 N 5TH ST APT 3J
none-north-8th-street-none-brooklyn-ny-11211,North 8th Street NaN,,N,8th,ST,,N 8TH ST
none-74-jackson-street-unit-garden-brooklyn-ny-11211,74 Jackson Street Unit GARDEN,74,,Jackson Street Unit,,,74 JACKSON STREET UNIT
none-jackson-street-unit-5-brooklyn-ny-11211,Jackson Street Unit 5,,,Jackson,ST,5,JACKSON ST APT 5
none-88-withers-street-unit-ph3-brooklyn-ny-11211,88 Withers Street Unit PH3,88,,Withers,ST,PH3,88 WITHERS ST APT PH3
none-devoe-street-unit-2r-brooklyn-ny-11211,Devoe Street Unit 2R,,,Devoe,ST,2R,DEVOE ST APT 2R
none-havemeyer-street-none-brooklyn-ny-11211-0,Havemeyer Street NaN,,,Havemeyer,ST,,HAVEMEYER ST
none-havemeyer-street-none-brooklyn-ny-11211,Havemeyer Street NaN,,,Havemeyer,ST,,HAVEMEYER ST
none-jackson-street-unit-3b-brooklyn-ny-11211,Jackson Street Unit 3B,,,Jackson,ST,3B,JACKSON ST APT 3B
none-north-8th-street-unit-ph-brooklyn-ny-11211,North 8th Street Unit PH,,N,8th,ST,,N 8TH ST
none-684-lorimer-street-none-brooklyn-ny-11211,684 Lorimer Street NaN,684,,Lorimer,ST,,684 LORIMER ST
none-30-bushwick-avenue-unit-5c-brooklyn-ny-11211,30 Bushwick Avenue Unit 5C,30,,Bushwick,AVE,5C,30 BUSHWICK AVE APT 5C
none-590-lorimer-street-unit-1-brooklyn-ny-11211,590 Lorimer Street Unit 1,590,,Lorimer,ST,1,590 LORIMER ST APT 1
none-270-south-2nd-street-none-brooklyn-ny-11211,270 South 2nd Street NaN,270,S,2nd,ST,,270 S 2ND ST
none-128-woodpoint-road-unit-2-brooklyn-ny-11211,128 Woodpoint Road Unit 2,128,,Woodpoint,,2,128 WOODPOINT APT 2
none-135-jackson-street-unit-1b-brooklyn-ny-11211,135 Jackson Street Unit 1B,135,,Jackson,ST,1B,135 JACKSON ST APT 1B
none-woodpoint-road-unit-3-brooklyn-ny-11211,Woodpoint Road Unit 3,,,Woodpoint,,3,WOODPOINT APT 3
none-390-manhattan-avenue-unit-2-brooklyn-ny-11211,390 Manhattan Avenue Unit 2,390,,Manhattan,AVE,2,390 MANHATTAN AVE APT 2
none-union-avenue-unit-5c-brooklyn-ny-11211,Union Avenue Unit 5C,,,Union,AVE,5C,UNION AVE APT 5C
none-30-bushwick-avenue-unit-2a-brooklyn-ny-11211,30 Bushwick Avenue Unit 2A,30,,Bushwick,AVE,2A,30 BUSHWICK AVE APT 2A
none-bedford-avenue-unit-8-brooklyn-ny-11211,Bedford Avenue Unit 8,,,Bedford,AVE,8,BEDFORD AVE APT 8
none-96-roebling-street-none-brooklyn-ny-11211,96 Roebling Street NaN,96,,Roebling,ST,,96 ROEBLING ST
none-212-north-9th-street-unit-3c-brooklyn-ny-11211,212 North 9th Street Unit 3C,212,N,9th,ST,3C,212 N 9TH ST APT 3C
