transaction_id,matched_address_id,confidence_score,match_type
none-131-jackson-street-unit-phb-brooklyn-ny-11211,3984.0,0.8571428656578064,fuzzy_prefix_block
none-139-skillman-avenue-unit-7a-brooklyn-ny-11211,165.0,0.8765217065811157,fuzzy_prefix_block
none-139-skillman-avenue-unit-9ab-brooklyn-ny-11211,10097.0,0.8983333110809326,fuzzy_prefix_block
none-156-devoe-street-unit-1f-brooklyn-ny-11211,14737.0,0.8521302938461304,fuzzy_prefix_block
none-156-devoe-street-unit-1f-brooklyn-ny-11211-0,14737.0,0.8521302938461304,fuzzy_prefix_block
none-165-north-10th-street-unit-3a-brooklyn-ny-11211,10402.0,0.8590909242630005,fuzzy_prefix_block
none-170-south-1st-street-unit-2b-brooklyn-ny-11211,8828.0,0.8359133005142212,fuzzy_prefix_block
none-170-south-1st-street-unit-2b-brooklyn-ny-11211-0,8828.0,0.8359133005142212,fuzzy_prefix_block
none-171-north-1st-street-unit-1a-brooklyn-ny-11211,22688.0,0.8161764740943909,fuzzy_prefix_block
none-171-north-1st-street-unit-3a-brooklyn-ny-11211,29001.0,0.8444444537162781,fuzzy_prefix_block
none-171-north-1st-street-unit-3c-brooklyn-ny-11211,8689.0,0.8444444537162781,fuzzy_prefix_block
none-171-north-1st-street-unit-3k-brooklyn-ny-11211,29001.0,0.8444444537162781,fuzzy_prefix_block
none-171-north-1st-street-unit-4k-brooklyn-ny-11211,7731.0,0.8444444537162781,fuzzy_prefix_block
none-179-jackson-street-unit-3a-brooklyn-ny-11211,28029.0,0.8893280625343323,fuzzy_prefix_block
none-179-woodpoint-road-unit-2c-brooklyn-ny-11211,25407.0,0.875,fuzzy_prefix_block
none-191-withers-street-unit-1r-brooklyn-ny-11211,16007.0,0.865424394607544,fuzzy_prefix_block
none-201-north-11th-street-unit-ph-brooklyn-ny-11211,9298.0,0.9117647409439087,fuzzy_prefix_block
none-215-north-10th-street-unit-pha-brooklyn-ny-11211,5316.0,0.9117647409439087,fuzzy_prefix_block
none-234-powers-street-unit-6-williamsburg-ny-11211,8940.0,0.8590909242630005,fuzzy_prefix_block
none-237-devoe-street-unit-1r-brooklyn-ny-11211,1985.0,0.8590909242630005,fuzzy_prefix_block
none-237-devoe-street-unit-1r-brooklyn-ny-11211-0,1985.0,0.8590909242630005,fuzzy_prefix_block
none-242-south-1st-street-unit-4e-brooklyn-ny-11211,20089.0,0.8444444537162781,fuzzy_prefix_block
none-30-bayard-street-unit-1a-brooklyn-ny-11211,18192.0,0.8590909242630005,fuzzy_prefix_block
none-30-devoe-street-unit-2b-brooklyn-ny-11211,5016.0,0.8521302938461304,fuzzy_prefix_block
none-30-devoe-street-unit-2b-brooklyn-ny-11211-0,18164.0,0.8521302938461304,fuzzy_prefix_block
none-305-union-avenue-unit-4d-5d-brooklyn-ny-11211,22210.0,0.844861626625061,fuzzy_prefix_block
none-305-union-avenue-unit-5c-brooklyn-ny-11211,17362.0,0.8113636374473572,fuzzy_prefix_block
none-308-north-7th-street-unit-4d-brooklyn-ny-11211,5963.0,0.8590909242630005,fuzzy_prefix_block
none-323-south-5th-street-unit-4-brooklyn-ny-11211-0,11612.0,0.8654971122741699,fuzzy_prefix_block
