transaction_id,matched_hhid,score
none-170-north-11th-street-unit-3a-brooklyn-ny-11211,,0
none-171-north-1st-street-unit-1a-brooklyn-ny-11211,,0
none-171-north-1st-street-unit-6d-brooklyn-ny-11211,,0
none-jackson-street-unit-3b-brooklyn-ny-11211-0,,0
none-224-north-6th-street-unit-3-brooklyn-ny-11211-0,,0
none-240-powers-street-unit-6-brooklyn-ny-11211-0,,0
none-739-grand-street-none-brooklyn-ny-11211-0,,0
none-239-jackson-street-none-brooklyn-ny-11211,,0
none-139-jackson-street-unit-1b-brooklyn-ny-11211,,0
none-18-orient-avenue-none-brooklyn-ny-11211-0,,0
none-532-lorimer-street-unit-1b-williamsburg-ny-11211-0,,0
none-230-south-2nd-street-none-williamsburg-ny-11211-0,,0
none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211-0,,0
none-north-8th-street-none-brooklyn-ny-11211-0,,0
none-manhattan-avenue-unit-4f-brooklyn-ny-11211-0,,0
none-skillman-avenue-unit-3-brooklyn-ny-11211-0,,0
none-jackson-street-unit-ph-brooklyn-ny-11211-0,,0
none-230-south-2nd-street-none-brooklyn-ny-11211-0,,0
none-north-8th-street-unit-ph-brooklyn-ny-11211-0,,0
none-153-south-4th-street-unit-5-brooklyn-ny-11211,,0
none-74-jackson-street-unit-3-brooklyn-ny-11211,,0
none-devoe-street-unit-2r-brooklyn-ny-11211-0,,0
none-lorimer-street-unit-1-brooklyn-ny-11211,,0
none-skillman-avenue-unit-3b-brooklyn-ny-11211,,0
none-229-withers-street-unit-2a-brooklyn-ny-11211,,0
none-division-avenue-unit-16-brooklyn-ny-11211-0,,0
none-havemeyer-street-unit-6a-brooklyn-ny-11211-0,,0
none-329-grand-street-none-brooklyn-ny-11211-0,,0
none-183-south-2nd-street-none-brooklyn-ny-11211-0,,0
none-74-jackson-street-unit-2-brooklyn-ny-11211,,0
none-150-richardson-street-unit-2a-brooklyn-ny-11211,,0
none-30-bushwick-avenue-unit-3b-brooklyn-ny-11211,,0
none-179-jackson-street-unit-3a-brooklyn-ny-11211,,0
